# Excluded reference blocks from docs/language-ref.md.
#
# Regenerate with: go run ./cmd/refblocks -write
#
# Columns: file, first line of the block in language-ref.md, category, reason.
#
#   by-design  not a parseable compilation unit as written
#   ref-bug    valid-looking, but the reference violates a current rule;
#              see docs/UNSORTED-TRIAGE.md for the correction
#   gap        should parse but is rejected; see docs/REFBLOCK-GAPS.md
#   unsorted   newly extracted and not yet classified
#
# file	ref_line	category	reason
L0128/L0128.fol	128	unsorted	new block that does not parse; classify by-design or gap
L0425/L0425.fol	425	by-design	block presents alternative declarations or constructions and intentionally reuses example names
L0583/L0583.fol	583	by-design	block shows struct and unit source files together to illustrate aggregate definite-initialization analysis
L0623/L0623.fol	623	by-design	block elides code with "..." and is illustrative
L0779/L0779.fol	779	by-design	two independent import illustrations shown together (with and without as=), not one entry file; the second directive follows a statement
L0950/L0950.fol	950	by-design	bare function declarations shown outside their required unit container
L0974/L0974.fol	974	by-design	block presents alternative declarations or constructions and intentionally reuses example names
L1068/conditionEg1.unit.fol	1068	by-design	grammar sketch precedes a complete unit declaration in the same block
L1133/loopsEg1.unit.fol	1133	by-design	grammar sketch precedes a complete unit declaration in the same block
L1212/L1212.fol	1212	by-design	block elides code with "..." and is illustrative
L1231/TernaryExample.unit.fol	1231	by-design	metasyntax schematic shown above the source file; two artifacts in one block
L1286/L1286.fol	1286	by-design	block elides code with "..." and is illustrative
L1357/L1357.fol	1357	by-design	block presents alternative declarations or constructions and intentionally reuses example names
L1377/L1377.fol	1377	by-design	elided body (...) — not a complete construct
L1407/L1407.fol	1407	by-design	match syntax sketch uses ellipses as metavariables
L1444/L1444.fol	1444	by-design	bare function is an Appendix B scope-model example shown outside its required unit container
L1457/L1457.fol	1457	unsorted	new block that does not parse; classify by-design or gap
L1468/L1468.fol	1468	by-design	bare function is an Appendix B scope-model example shown outside its required unit container
L1494/L1494.fol	1494	by-design	bare function is an Appendix B scope-model example shown outside its required unit container
L1507/L1507.fol	1507	unsorted	new block that does not parse; classify by-design or gap
L1519/L1519.fol	1519	unsorted	new block that does not parse; classify by-design or gap
L1694/L1694.fol	1694	unsorted	new block that does not parse; classify by-design or gap
L1725/L1725.fol	1725	by-design	block presents alternative declarations or constructions and intentionally reuses example names
L1746/L1746.fol	1746	by-design	type, pattern clauses and desugared function are shown together, not one source file
L2231/L2231.fol	2231	by-design	block shows 2 source files (Employee.fol, Emp.fol) and is not one compilation unit
L2258/EmployeeContract.fol	2258	by-design	block elides code with "..." and is illustrative
L2267/EmployeeApi.fol	2267	by-design	block elides code with "..." and is illustrative
L2280/Employee.fol	2280	by-design	block elides code with "..." and is illustrative
L2287/EmployeeModule.fol	2287	by-design	block elides code with "..." and is illustrative
L2294/EmployeeModImpl.fol	2294	by-design	block elides code with "..." and is illustrative
L2385/EmployeeMixin.fol	2385	by-design	block elides code with "..." and is illustrative
L2460/L2460.fol	2460	by-design	block elides code with "..." and is illustrative
L2499/InvalidMatcher.fol	2499	by-design	block elides code with "..." and is illustrative
L2521/comprehensionseg1.unit.fol	2521	by-design	block presents alternative declarations or constructions and intentionally reuses example names
L2579/L2579.fol	2579	by-design	illustrative initializer is elided with ellipses
L2606/L2606.fol	2606	by-design	block presents alternative declarations or constructions and intentionally reuses example names
L2622/L2622.fol	2622	unsorted	new block that does not parse; classify by-design or gap
L2725/L2725.fol	2725	by-design	block shows 2 source files (Functor.fol, ListFunctor.fol) and is not one compilation unit
L2746/L2746.fol	2746	by-design	block shows 2 source files (Applicative.fol, OptionApplicative.fol) and is not one compilation unit
L2768/L2768.fol	2768	by-design	block shows 2 source files (Monad.fol, OptionMonad.fol) and is not one compilation unit
L2787/L2787.fol	2787	by-design	block shows 2 source files (Monoid.fol, IntMonoid.fol) and is not one compilation unit
L2804/L2804.fol	2804	by-design	block shows 2 source files (Transformer.fol, ListToSetTransformer.fol) and is not one compilation unit
L2829/L2829.fol	2829	by-design	bare function is an Appendix B scope-model example shown outside its required unit container
L2969/L2969.fol	2969	unsorted	new block that does not parse; classify by-design or gap
L3016/L3016.fol	3016	by-design	bare function is an Appendix B scope-model example shown outside its required unit container
L3041/L3041.fol	3041	by-design	semantic placement table written as source-like prose
L3111/L3111.fol	3111	by-design	labeled block shown as a bare statement fragment; a block is legal only inside a function or method
L3127/L3127.fol	3127	by-design	break statement shown as a bare statement fragment, outside any breakable region
L3137/L3137.fol	3137	by-design	block elides code with "..." and is illustrative
L3145/L3145.fol	3145	by-design	labeled loop shown as a bare statement fragment; a block is legal only inside a function or method
L3155/L3155.fol	3155	by-design	block elides code with "..." and is illustrative
L3170/L3170.fol	3170	by-design	continue statement shown as a bare statement fragment, outside any loop
L3211/L3211.fol	3211	by-design	lexical contrast table of label and character-literal spellings rather than source
L3226/L3226.fol	3226	by-design	anonymous block shown as a bare statement fragment; a block is legal only inside a function or method
L3237/L3237.fol	3237	by-design	named block declaration and its use shown outside their required function body
L3260/L3260.fol	3260	by-design	bare function shown outside its required unit container
L3412/L3412.fol	3412	by-design	four independent import-form illustrations shown together, not one entry file; each directive after the first follows a statement
L3556/employee-access.unit.fol	3556	by-design	block elides code with "..." and is illustrative
L3649/Employee.fol	3649	by-design	block elides code with "..." and is illustrative
L3752/arithmetic.unit.fol	3752	by-design	block elides code with "..." and is illustrative
L3985/L3985.fol	3985	by-design	block elides code with "..." and is illustrative
L4015/L4015.fol	4015	by-design	lists mutually exclusive annotation alternatives without a declaration
L4073/L4073.fol	4073	by-design	block elides code with "..." and is illustrative
L4104/component.fol	4104	by-design	project-local component requires filesystem context not retained by extracted corpus path
L4205/L4205.fol	4205	by-design	block shows 2 source files (Employee.fol, Address.fol) and is not one compilation unit
L4221/L4221.fol	4221	by-design	bare function is an Appendix B scope-model example shown outside its required unit container
L4256/L4256.fol	4256	by-design	member shown outside its required container
L4292/Employee.fol	4292	by-design	several top-level declarations shown together; each needs its own file
L4573/arithmetic.unit.fol	4573	by-design	block elides code with "..." and is illustrative
L4585/optional.unit.fol	4585	by-design	block elides code with "..." and is illustrative
L4669/L4669.fol	4669	by-design	block shows 2 source files (Point.fol, Rect.fol) and is not one compilation unit
L4774/L4774.fol	4774	by-design	block shows 2 source files (E.fol, B.fol) and is not one compilation unit
L4806/B.fol	4806	by-design	declaration shown beside bare statements; not one compilation unit
L4909/Vector.comp.unit.fol	4909	by-design	block elides code with "..." and is illustrative
L4993/Employee.comp.unit.fol	4993	by-design	block elides code with "..." and is illustrative
L5043/Employee.comp.unit.fol	5043	by-design	block elides code with "..." and is illustrative
L5123/L5123.fol	5123	by-design	block shows 2 source files (Employee.fol, Emp.fol) and is not one compilation unit
L5196/AuditAnnotation.fol	5196	by-design	block elides code with "..." and is illustrative
L5249/L5249.fol	5249	by-design	block presents alternative declarations or constructions and intentionally reuses example names
L5392/L5392.fol	5392	by-design	two independent class source files are shown in one relationship example
L5467/L5467.fol	5467	by-design	standalone relationship-selector fragments shown without their required class method context or statement termination
L5485/L5485.fol	5485	by-design	import plus standalone relationship-selector fragments shown without their required class method context or statement termination
L5503/L5503.fol	5503	by-design	standalone parent-selector fragments shown without their required class method context or statement termination
L5554/L5554.fol	5554	by-design	block elides code with "..." and is illustrative
L5597/L5597.fol	5597	by-design	block elides code with "..." and is illustrative
L5606/L5606.fol	5606	by-design	block elides code with "..." and is illustrative
L5627/Employee.fol	5627	unsorted	new block that does not parse; classify by-design or gap
L5686/plain_generic_types.unit.fol	5686	unsorted	new block that does not parse; classify by-design or gap
L5708/L5708.fol	5708	by-design	unit declaration shown without the <Fragment>.unit.fol filename it requires
L5726/L5726.fol	5726	unsorted	new or changed block shows 3 source files (someInterface.fol, someUnit.unit.fol, SomeClass.fol); split it or classify it explicitly
L5881/L5881.fol	5881	by-design	block shows 3 source files (someClass1.fol, someClass2.fol, child.fol) and is not one compilation unit
L5907/L5907.fol	5907	by-design	block presents alternative declarations or constructions and intentionally reuses example names
L5947/L5947.fol	5947	by-design	bare function is an Appendix B scope-model example shown outside its required unit container
L5959/L5959.fol	5959	by-design	block shows multiple relationship source files and their child class and is not one compilation unit
L6182/L6182.fol	6182	by-design	block shows 3 source files (Employee.fol, EmployeeModule.fol, EmployeeModImpl.fol) and is not one compilation unit
L6347/EmployeeRepositoryImpl.fol	6347	by-design	block elides code with "..." and is illustrative
L6381/IntegerRepository.fol	6381	unsorted	was in parsing/ and no longer parses; reclassify or fix
L6421/ListStackModule.fol	6421	by-design	block elides code with "..." and is illustrative
L6440/ArrayStackModule.fol	6440	by-design	block elides code with "..." and is illustrative
L6502/EmployeeModImpl.fol	6502	by-design	block elides code with "..." and is illustrative
L6608/L6608.fol	6608	by-design	member shown outside its required container
L6636/L6636.fol	6636	by-design	several top-level declarations shown together; each needs its own file
L6664/L6664.fol	6664	by-design	metasyntax placeholder <...> rather than source
L6670/L6670.fol	6670	by-design	metasyntax placeholder <...> rather than source
L6714/L6714.fol	6714	by-design	member shown outside its required container
L6718/L6718.fol	6718	by-design	member shown outside its required container
L6750/State.fol	6750	by-design	block elides code with "..." and is illustrative
L6757/State.fol	6757	by-design	block elides code with "..." and is illustrative
L6775/L6775.fol	6775	by-design	member shown outside its required container
L6783/L6783.fol	6783	by-design	bare annotation fragment, not a declaration
L6791/CalculationState.fol	6791	by-design	block elides code with "..." and is illustrative
L6805/L6805.fol	6805	by-design	block shows 3 source files (Employee.fol, EmployeeService.fol, EmployeeState.fol) and is not one compilation unit
L6837/L6837.fol	6837	by-design	block shows 3 source files (Employee.fol, EmployeeService.fol, EmployeeState.fol) and is not one compilation unit
L6871/CalculationState.fol	6871	by-design	block elides code with "..." and is illustrative
L6912/L6912.fol	6912	by-design	block shows 4 source files (EmployeeState.fol, Employee.fol, EmployeeService.fol, Payroll.fol) and is not one compilation unit
L7014/L7014.fol	7014	by-design	block shows 2 source files (EmployeeState.fol, Employee.fol) and is not one compilation unit
L7036/L7036.fol	7036	by-design	block shows 4 source files (Employee.fol, EmployeeModule.fol, EmployeeContract.fol, EmployeeApi.fol) and is not one compilation unit
L7098/L7098.fol	7098	by-design	block shows 2 source files (EmployeeState.fol, Employee.fol) and is not one compilation unit
L7263/L7263.fol	7263	by-design	bare function is an Appendix B scope-model example shown outside its required unit container
L7291/L7291.fol	7291	by-design	block elides code with "..." and is illustrative
L7355/L7355.fol	7355	by-design	bare function is an Appendix B scope-model example shown outside its required unit container
L7386/L7386.fol	7386	by-design	bare function is an Appendix B scope-model example shown outside its required unit container
L7490/L7490.fol	7490	by-design	invalid execution-model effect-policy record fragments shown outside an @co.dap.onEffect application
L7521/L7521.fol	7521	by-design	effect-policy record alternatives shown outside their enclosing @co.dap.onEffect application
L7543/L7543.fol	7543	by-design	invalid effect-policy record alternatives shown outside their enclosing @co.dap.onEffect application
